prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
-1.0,2.100306013376553,-2.928721092725084,-1.0,0.0,0.0,1.0
-1.0,2.427717857856692,-2.389233450365907,1.0,0.0,0.0,-1.0
-1.0,2.30698066562951,-2.9971310382344996,-1.0,0.0,0.0,-1.0
-1.0,1.2234787267225897,-2.2973764977782025,-1.0,0.0,0.0,0.0
1.0,2.6059578676732826,-2.6615606926533246,0.0,0.25,1.0,-1.0
1.0,1.0743003826059407,-3.8154754156893205,-1.0,1.0,0.0,1.0
1.0,1.6098652432722247,-3.742883938337627,1.0,0.0,0.0,0.0
1.0,2.5701129652895247,-4.232936407595105,0.0,0.0,0.5,-1.0
1.0,1.1043038269882572,-4.218138035200127,-1.0,0.0,1.0,-1.0
1.0,1.1614095348405158,-6.027955551263233,-1.0,0.0,1.0,-1.0
1.0,1.137460982776247,-4.84818699520963,-1.0,0.5,0.0,1.0
1.0,1.339062112068575,-1.7143220752475372,1.0,0.5,0.25,1.0
1.0,1.3758091773465253,-3.3130389468581143,1.0,0.0,0.0,-1.0
-1.0,1.4275259650739258,-1.4423238734731285,-1.0,0.0,0.0,0.0
1.0,2.5532332885996993,-7.665405929401743,0.0,0.5,0.0,1.0
1.0,1.3427122192832144,-2.0290028739126456,1.0,1.0,0.0,1.0
1.0,1.0172099028628168,-1.9038744879586034,1.0,0.5,0.0,1.0
1.0,1.3671529030165743,-1.635487581727773,1.0,0.5,0.25,1.0
1.0,1.1315456198819334,-4.95632873820233,1.0,0.25,1.0,-1.0
1.0,1.0934256593778855,-2.776648209982227,-1.0,0.0,0.0,0.0
1.0,2.579086143037557,-5.417085731028294,0.0,0.0,0.0,1.0
-1.0,2.3037912371619313,-3.9635810957452122,1.0,0.0,0.0,-1.0
-1.0,1.4057058668936406,-2.9909692256402423,-1.0,0.0,0.0,1.0
-1.0,1.4125362153793048,-2.9139996977154397,1.0,0.0,0.0,0.0
1.0,2.4475227461094846,-2.4160085968958356,0.0,0.0,0.0,0.0
1.0,2.7057225537598697,-3.3018189659061363,0.0,0.25,1.0,-1.0
1.0,1.3805373745592533,-1.4452752766798085,-1.0,0.0,0.0,-1.0
-1.0,1.2073557295256023,-3.4485127903139983,-1.0,0.0,0.0,-1.0
-1.0,1.3343873593827311,-3.205325560334586,-1.0,0.0,0.0,-1.0
-1.0,2.15830410817307,-3.6625660454847093,-1.0,0.0,0.0,0.0
1.0,2.7231002996494453,-2.7625465583431605,0.0,1.0,0.5,1.0
1.0,1.4440103234097705,-2.7436345753436626,1.0,0.0,0.0,0.0
1.0,2.5385255843210643,-4.507971140468044,0.0,0.0,0.0,0.0
1.0,2.7293737671036524,-2.1126021161262543,0.0,0.0,0.0,1.0
-1.0,1.6448555208723974,-1.453697809166556,1.0,0.0,0.0,-1.0
-1.0,1.0343354650955234,-3.043558961833128,-1.0,0.0,0.0,-1.0
-1.0,2.5081715444642896,-3.1051381462925747,-1.0,0.0,0.0,0.0
1.0,2.6338326691662814,-2.4356046219977543,0.0,0.0,1.0,-1.0
1.0,1.3752239023179982,-1.7647558411755426,-1.0,0.0,1.0,-1.0
1.0,1.1170951295998748,-3.5373169107025433,-1.0,0.5,0.0,1.0
1.0,1.5539630622967024,-1.9012249568515927,1.0,0.0,1.0,-1.0
1.0,1.2163300173650669,-1.4892812806916709,-1.0,0.0,0.0,1.0
-1.0,1.3561712354292013,-1.9685771426613883,1.0,0.0,0.0,-1.0
-1.0,1.1195103654321201,-2.2918622007965723,-1.0,0.0,0.0,1.0
-1.0,1.358002835077059,-2.250881558583046,1.0,0.0,0.0,-1.0
-1.0,2.5734282322807758,-2.4214863674164917,-1.0,0.0,0.0,1.0
-1.0,1.423199210871985,-2.304161978090292,1.0,0.0,0.0,-1.0
-1.0,1.4273705082978267,-2.952483857951279,-1.0,0.0,0.0,0.0
1.0,2.5196674757979736,-2.261457042628649,0.0,0.5,0.0,1.0
1.0,1.2539317389497455,-3.1267376962715616,1.0,0.25,0.5,-1.0
